7442	7113	17696	16531	8314	18083	18989	4270	19618	
16200	10676	19777	2842	1927	3679	13079	5303	19161	
1498	2511	8930	4750	9497	8355	117	4536	13253	
11375	17001	3944	3926	3760	4407	3802	2780	529	
6412	17088	6128	15622	7440	8177	17460	633	576	
10897	1444	10683	8467	16	16344	9090	13359	7809	
5874	19357	3894	9365	16766	9564	5471	15551	5348	
8436	1216	609	14953	4251	12666	4928	4726	2159	
14056	10139	1128	16377	5967	9982	3156	13314	2578	
8961	5700	1874	2578	19190	15543	13120	18936	2950	
11364	6152	11385	8564	1660	27	5468	6495	12469	
281	9438	5321	12063	13414	597	939	14899	15687	
2943	13107	13383	2198	15390	16126	6262	6315	8040	
16703	7334	6073	1583	10966	9139	1350	4154	11557	
13392	12258	9056	1965	6524	10467	11349	7476	14648	
16883	17621	15356	1608	10376	17544	16477	17142	6665	
3006	18221	7451	12632	17666	17776	3566	368	17097	
4406	286	2408	3235	15721	3230	19348	15379	15127	
4103	14081	18313	13090	12518	2162	13921	2543	17745	
1874	19239	9743	9193	1296	7459	13408	2677	12846	
13875	9345	1814	278	1796	9142	234	9288	13446	
11339	15121	7294	2836	4157	13811	1835	13786	815	
10975	5024	3981	7478	7613	9697	5714	7395	7715	
19316	8421	8272	18561	2095	323	10355	3485	6299	
19080	4288	3116	5104	1661	12065	1477	3735	13318	
13189	5595	16173	15667	4620	14743	18399	10226	12540	
19698	7873	16333	13861	14720	16128	9395	17158	11147	
15492	17103	910	12910	5976	4809	7495	6953	1087	
240	1784	17111	18782	17264	1683	17114	158	18882	
2064	16092	827	5717	4541	9130	1566	13831	10031	
5858	16137	16773	12835	3216	587	2223	8535	1169	
4463	14096	3126	19175	9601	10982	5604	5787	9917	
1554	17010	13785	1876	188	5218	7600	2436	10706	
4422	6575	5635	7493	17424	7963	12165	13352	11052	
2096	9191	10661	18679	1491	885	10251	18268	12610	
16873	15013	10118	5671	6555	7993	5650	16736	14809	
11057	8784	5953	2205	15542	270	19613	496	1544	
3269	19291	8326	15880	18080	5309	8310	14641	6904	
15463	2081	8276	18052	9498	16456	19009	17415	4924	
472	16096	14631	6382	1761	10342	7499	19337	9671	
18362	5224	10022	18184	5688	13314	8572	952	5163	
16867	12047	7512	12902	11203	4168	16689	7047	18960	
17995	13685	4344	9573	16823	10481	3506	7359	4931	
3467	2368	10719	13546	17107	6730	1255	4744	3578	
16022	11291	4911	738	6560	7962	10446	18914	9549	
9510	15088	19906	5681	982	9256	688	17138	2442	
3423	220	18987	18628	3818	9610	2077	3893	7743	
937	16920	11397	12961	16588	18655	1705	4275	5477	
3862	4787	9187	19297	1844	36	17874	19615	19597	
8845	18308	18790	3875	1392	19131	17172	7478	4011	
16660	6660	5186	4495	9383	3457	16290	17433	8899	
18685	7867	16015	14954	9974	1934	17613	17670	18590	
15020	14517	14086	2906	14448	14468	6254	2654	18186	
12415	14145	4373	16460	7011	19306	3411	12467	3041	
18588	10993	3969	19210	4818	7258	12301	12290	7716	
15494	16703	6090	5533	6893	12375	226	8848	10179	
4597	5070	7444	13738	11998	16841	538	10302	10157	
7185	4690	3941	1231	8389	3812	19280	11490	808	
